nitrogen,phosphorus,potassium,temperature_c,humidity_pct,soil_ph,rainfall_mm,ndvi,soil_moisture,forecast_temperature_c,forecast_rainfall_7d_mm,market_price,market_demand_index,crop
37.54,63.67,36.32,26.7,46.63,5.75,637.78,0.592,0.444,24.24,65.31,6893.79,0.934,groundnut
93.29,35.87,29.89,31.08,68.93,6.91,1116.91,0.622,0.668,29.29,100.21,2034.03,0.887,rice
26.89,54.03,29.9,29.07,53.24,5.94,792.19,0.409,0.384,30.54,66.35,5237.98,1.0,groundnut
27.96,41.77,45.65,20.71,58.41,6.99,462.79,0.528,0.368,19.09,88.34,7064.45,0.693,chickpea
80.06,59.4,39.9,21.03,69.08,6.23,618.19,0.658,0.566,21.69,50.44,2345.2,0.928,tomato
65.93,65.73,24.97,22.99,67.81,5.94,855.88,0.68,0.522,23.07,136.53,6095.48,0.865,soybean
55.32,34.74,40.11,20.83,75.28,5.92,619.18,0.534,0.592,22.84,118.36,3494.55,0.663,soybean
40.38,45.6,42.59,26.71,59.55,6.3,584.7,0.523,0.479,28.53,94.11,4796.51,0.77,soybean
32.95,60.8,28.55,22.92,72.03,6.21,695.99,0.512,0.46,23.63,86.53,4963.55,0.728,soybean
82.97,67.72,40.5,25.18,68.85,5.69,737.97,0.656,0.472,27.84,72.46,2283.59,0.695,potato
43.59,88.08,23.72,20.49,50.25,7.04,548.01,0.371,0.494,16.74,27.6,6550.55,0.741,chickpea
78.15,37.5,37.64,30.8,86.52,6.2,1125.1,0.611,0.586,34.76,135.4,2486.11,0.743,rice
57.45,58.41,41.48,21.64,43.65,6.35,484.33,0.602,0.422,21.27,7.91,6244.34,0.658,groundnut
84.03,35.12,39.56,31.56,84.52,5.03,1169.7,0.616,0.646,29.81,90.83,2098.37,0.752,rice
69.72,35.78,47.13,21.05,74.15,5.9,577.6,0.733,0.413,21.76,59.75,1861.55,0.776,tomato
44.94,53.59,14.42,21.16,59.36,6.36,460.89,0.536,0.309,20.41,42.23,7697.5,0.661,chickpea
104.79,74.02,39.63,31.99,66.45,5.0,862.68,0.405,0.657,32.41,53.91,2349.37,0.869,rice
20.52,60.84,35.82,20.1,61.13,6.73,461.96,0.607,0.356,21.17,56.29,7014.96,0.672,chickpea
130.53,54.62,33.62,17.19,70.74,6.83,1215.67,0.7,0.75,18.41,161.13,2012.17,0.966,rice
96.33,31.07,62.62,22.82,74.85,6.77,633.69,0.694,0.509,21.49,71.15,2445.78,0.98,tomato
53.7,47.61,47.68,28.14,57.21,6.47,574.67,0.488,0.461,26.73,20.05,6543.54,0.701,groundnut
101.19,43.24,35.27,23.98,52.27,6.68,906.55,0.663,0.634,23.1,30.11,2699.19,0.921,maize
99.51,25.99,42.53,21.5,68.72,6.32,841.08,0.601,0.547,23.35,42.97,6073.56,0.831,cotton
107.61,54.25,25.21,15.39,59.97,7.02,707.22,0.439,0.444,15.33,87.78,2676.23,0.794,wheat
104.11,59.52,36.26,22.41,43.11,6.17,456.07,0.626,0.363,25.2,25.9,2262.09,0.812,wheat
51.95,80.36,28.08,20.52,57.45,6.42,465.25,0.535,0.484,20.82,36.28,4354.92,0.88,soybean
80.34,52.41,51.16,18.05,63.47,6.05,632.8,0.585,0.438,19.21,78.24,2604.07,0.875,wheat
58.75,51.87,20.14,17.41,50.34,6.08,362.96,0.609,0.335,16.47,24.05,6174.2,0.757,chickpea
75.37,48.6,27.53,22.92,61.98,7.09,714.13,0.71,0.505,23.59,69.26,2126.41,0.803,tomato
6.31,48.87,33.2,20.8,73.98,7.0,767.39,0.461,0.533,19.49,96.43,3691.65,0.683,soybean
27.11,41.07,31.12,27.31,48.13,6.42,569.23,0.432,0.469,29.82,65.72,5833.61,0.71,groundnut
169.09,50.83,59.25,23.78,79.28,5.95,1314.76,0.761,0.75,23.24,54.43,500.0,0.803,sugarcane
55.36,36.27,32.61,27.36,61.99,6.75,585.8,0.559,0.444,31.81,33.1,5251.1,0.837,soybean
12.03,28.19,51.8,26.94,50.53,5.9,549.26,0.51,0.467,28.12,42.19,5793.0,0.811,groundnut
75.9,47.1,28.84,22.84,57.99,7.63,724.98,0.679,0.511,23.46,113.26,2640.77,0.801,wheat
107.47,34.41,39.93,23.67,85.16,6.17,994.81,0.721,0.593,21.03,126.06,2298.55,0.803,rice
126.94,55.45,58.91,24.82,81.44,5.82,1685.72,0.756,0.75,25.98,218.66,500.0,0.71,sugarcane
97.95,33.15,48.48,21.81,41.05,6.96,695.65,0.656,0.424,19.19,6.18,2500.72,0.869,wheat
139.72,57.87,36.16,25.96,87.98,6.64,1222.14,0.866,0.723,25.79,91.18,500.0,0.917,sugarcane
63.86,44.74,43.75,27.91,53.12,6.66,354.19,0.53,0.353,28.43,78.39,6428.66,0.634,chickpea
110.47,57.22,40.59,26.14,75.75,6.89,1106.84,0.578,0.649,24.17,159.36,500.0,0.859,sugarcane
25.09,25.98,48.72,27.6,59.26,6.12,598.64,0.523,0.441,29.16,57.78,6314.55,0.853,groundnut
31.12,75.73,17.09,19.41,45.96,7.84,278.7,0.477,0.368,18.8,0.0,6394.71,0.853,chickpea
73.13,32.35,59.27,29.68,64.29,5.58,772.6,0.543,0.548,30.09,24.21,2710.68,0.99,tomato
109.39,39.49,50.92,13.28,80.48,6.27,859.81,0.488,0.598,12.53,44.19,1719.59,0.697,maize
111.79,48.76,37.3,28.9,74.5,6.84,1175.66,0.693,0.64,31.84,40.67,500.0,0.849,sugarcane
57.88,41.67,54.01,27.63,78.08,6.17,1607.68,0.48,0.75,23.87,143.81,1636.9,0.888,rice
38.35,73.03,51.95,20.66,33.66,6.88,184.29,0.52,0.239,18.69,0.0,5951.35,0.583,chickpea
