,nitrogen,phosphorus,potassium,temperature_c,humidity_pct,soil_ph,rainfall_mm,ndvi,soil_moisture,forecast_temperature_c,forecast_rainfall_7d_mm,market_price,market_demand_index
nitrogen,1.0,-0.13175083107303953,0.13341285513789508,0.15579627523098769,0.35658344623042115,-0.011072801777160482,0.5475428106688747,0.6159416261694146,0.5241501932861558,0.15058525266107775,0.3900281711366867,-0.44128443707849957,0.149492768621212
phosphorus,-0.13175083107303953,1.0,-0.001342292531288475,-0.027922811709595877,-0.006983641479820031,0.06912577438481067,0.05620636957038459,-0.1021044183012655,0.030028069593729743,-0.02342932592105744,0.03474310262618666,-0.046206152652948466,-0.04630284422135773
potassium,0.13341285513789508,-0.001342292531288475,1.0,0.08656127319693271,0.16258638480010568,-0.07624848425095535,0.17742108886437968,0.10425947768328186,0.15910860042621724,0.08347147791170602,0.11354459568530587,-0.11594907549065901,-0.003907319007951282
temperature_c,0.15579627523098769,-0.027922811709595877,0.08656127319693271,1.0,0.1893460638407411,0.04195250879720192,0.3041717003771897,0.23441656254315285,0.2910061808551092,0.9273908154119092,0.2204632230541793,0.07721275581976457,0.1008973126147282
humidity_pct,0.35658344623042115,-0.006983641479820031,0.16258638480010568,0.1893460638407411,1.0,-0.19044584343401516,0.44552723094692886,0.37553563453834704,0.54281067212334,0.18271791339747825,0.31306464142903984,-0.4258843345946802,0.16092726028241167
soil_ph,-0.011072801777160482,0.06912577438481067,-0.07624848425095535,0.04195250879720192,-0.19044584343401516,1.0,0.02880400085062274,-0.006795364554892619,-0.03303015741614073,0.037303770220351334,0.025948425720716803,0.17843290616094304,-0.08490232769292243
rainfall_mm,0.5475428106688747,0.05620636957038459,0.17742108886437968,0.3041717003771897,0.44552723094692886,0.02880400085062274,1.0,0.4085631463308925,0.8887951798813853,0.29053106895726594,0.718319117930106,-0.49674456970847075,0.2151193933519938
ndvi,0.6159416261694146,-0.1021044183012655,0.10425947768328186,0.23441656254315285,0.37553563453834704,-0.006795364554892619,0.4085631463308925,1.0,0.4158336996940505,0.2193138818773105,0.2749956200774296,-0.2741854268611345,0.1254084954046481
soil_moisture,0.5241501932861558,0.030028069593729743,0.15910860042621724,0.2910061808551092,0.54281067212334,-0.03303015741614073,0.8887951798813853,0.4158336996940505,1.0,0.27604347604945106,0.6420305348410229,-0.49074009331559254,0.2217636191487222
forecast_temperature_c,0.15058525266107775,-0.02342932592105744,0.08347147791170602,0.9273908154119092,0.18271791339747825,0.037303770220351334,0.29053106895726594,0.2193138818773105,0.27604347604945106,1.0,0.2131962401729236,0.0699809524518408,0.09003112067377213
forecast_rainfall_7d_mm,0.3900281711366867,0.03474310262618666,0.11354459568530587,0.2204632230541793,0.31306464142903984,0.025948425720716803,0.718319117930106,0.2749956200774296,0.6420305348410229,0.2131962401729236,1.0,-0.3455189947622972,0.1462312113055301
market_price,-0.44128443707849957,-0.046206152652948466,-0.11594907549065901,0.07721275581976457,-0.4258843345946802,0.17843290616094304,-0.49674456970847075,-0.2741854268611345,-0.49074009331559254,0.0699809524518408,-0.3455189947622972,1.0,-0.23077598294319393
market_demand_index,0.149492768621212,-0.04630284422135773,-0.003907319007951282,0.1008973126147282,0.16092726028241167,-0.08490232769292243,0.2151193933519938,0.1254084954046481,0.2217636191487222,0.09003112067377213,0.1462312113055301,-0.23077598294319393,1.0
